hour_of_day,amount,transaction_type,location_region,ip_prefix,login_frequency,session_duration,purchase_pattern,age_group,anomaly
10,853.0376514208114,2,3,10.0,7,104,1,2,2
10,551.7465124776907,2,3,10.0,1,27,2,1,1
18,879.194163788466,1,3,192.168,4,43,0,0,1
20,672.2070164135024,2,2,172.16,6,106,1,2,1
1,445.4918526665773,4,3,192.0,2,31,2,1,1
20,816.85196530295,1,2,192.0,3,57,0,0,1
1,391.8868745407297,1,3,172.16,3,75,0,0,1
16,0.01,3,2,172.16,2,31,2,1,0
16,324.8842299342325,2,4,192.0,7,98,1,2,1
19,733.9229771204153,2,3,192.0,6,148,1,2,2
8,541.1849144388013,4,3,172.0,8,141,1,2,1
12,447.5195281436316,1,0,192.0,2,22,2,1,1
8,539.3763970779623,4,0,172.16,4,56,0,0,1
6,371.48865631094736,2,3,172.16,8,148,1,2,2
18,231.17665949676604,2,1,172.0,8,99,1,2,1
18,628.3333914279062,1,2,192.168,1,34,2,1,1
22,400.9010198567073,2,0,192.168,2,23,2,1,1
2,635.5550035241351,1,1,192.0,4,79,0,0,1
8,749.6431807325434,2,0,10.0,7,111,1,2,2
14,303.2991171997608,0,4,172.16,1,26,2,1,0
0,700.355953234873,1,1,10.0,1,38,2,1,1
16,229.9910881505653,4,0,192.168,2,33,2,1,1
12,44.34249664308288,4,0,172.0,3,77,0,0,1
6,787.8369180950667,1,0,172.0,5,74,0,0,1
4,0.01,4,1,10.0,5,76,0,0,1
23,719.1126424450999,3,2,192.0,2,22,2,1,0
12,816.2836394533505,2,0,172.16,7,81,1,2,2
20,635.5512523239609,1,4,192.0,5,40,0,0,1
13,592.7873214631384,1,0,172.16,1,37,2,1,1
8,529.1069185522443,2,3,172.0,7,145,1,2,1
12,404.74111090439067,2,3,172.16,7,138,1,2,1
23,578.1994736557722,3,4,192.168,2,28,2,1,0
9,792.3146628591071,4,3,172.0,8,132,1,2,1
18,604.6853185504091,0,2,192.0,2,32,2,1,0
13,763.7565760320622,4,0,10.0,1,32,2,1,1
20,528.3222446043833,2,4,192.168,7,103,1,2,1
7,873.0147410536624,2,2,172.0,2,37,2,1,1
6,489.92011418508287,2,1,172.0,8,124,1,2,2
9,717.0661976065744,2,3,10.0,2,32,2,1,1
23,775.583958256203,1,0,192.168,5,45,0,0,1
22,423.5220487557186,2,2,172.16,8,111,1,2,1
4,152.0687251554533,3,1,10.0,1,34,2,1,0
10,630.12145719921,0,1,10.0,1,37,2,1,0
21,840.3875231221923,2,2,172.0,7,131,1,2,2
21,814.788863211101,4,4,192.0,4,43,0,0,1
17,743.5901891974801,2,3,10.0,1,21,2,1,1
21,645.2843956451262,2,2,192.0,7,83,1,2,1
7,205.0301414478365,4,3,172.0,4,46,0,0,1
0,282.8446105366661,1,2,192.168,5,59,0,0,1
19,1019.6428943047924,2,1,192.0,8,148,1,2,2
19,422.2977358844482,4,4,172.0,5,44,0,0,1
22,358.96168650928644,4,0,172.0,1,27,2,1,1
8,260.8212078681683,2,1,10.0,8,132,1,2,1
14,183.3848284413456,1,1,10.0,5,68,0,0,1
8,720.6611066827622,1,3,172.0,5,70,0,0,1
12,578.989160972291,3,0,10.0,2,24,2,1,0
6,268.29319780727053,2,3,192.0,8,102,1,2,2
22,1373.4755492751433,2,4,172.0,7,158,1,2,2
23,924.9027283191684,4,1,172.0,4,44,0,0,1
20,749.9194169726999,4,4,192.0,4,56,0,0,1
2,374.46626324231937,1,0,172.0,4,62,0,0,1
3,365.1818699863079,2,3,172.0,1,38,2,1,1
2,811.5657541098414,1,2,192.168,1,39,2,1,1
3,495.6813286967851,2,3,192.0,6,95,1,2,2
18,765.8743309259111,4,2,192.168,6,111,1,2,1
4,703.4787539683963,3,2,172.16,2,23,2,1,0
16,437.3987634597475,2,2,192.168,1,34,2,1,1
9,544.2700615077445,2,1,10.0,8,133,1,2,1
21,428.18643310654033,4,1,172.16,3,51,0,0,1
11,663.9418445331341,0,1,192.168,2,30,2,1,0
6,509.3475350178152,1,4,172.0,3,49,0,0,1
0,663.4771557406448,1,4,10.0,4,60,0,0,1
11,107.8568997655733,1,0,172.16,4,73,0,0,1
18,553.4377691403082,1,1,192.0,5,58,0,0,1
16,312.49101579319625,4,4,172.16,3,62,0,0,1
11,950.8962991157608,1,4,10.0,3,61,0,0,1
0,552.0801085060366,3,3,192.168,1,37,2,1,0
13,496.9208997559553,4,3,172.0,7,147,1,2,1
23,419.17976828327096,1,3,172.0,1,35,2,1,1
22,526.6341014846848,1,0,192.168,3,70,0,0,1
18,823.9448645901134,4,2,172.16,3,64,0,0,1
0,410.8995791636762,1,4,10.0,4,59,0,0,1
1,1206.5404845569888,0,0,172.0,1,35,2,1,0
21,1035.304636323643,3,3,10.0,2,31,2,1,0
23,457.40244285290936,4,0,192.168,6,132,1,2,1
16,204.13030321493568,2,4,192.0,1,30,2,1,1
14,464.0458253984003,4,0,10.0,1,31,2,1,1
13,697.4755376281821,2,4,192.0,8,156,1,2,1
13,572.3379037297539,4,4,192.168,3,71,0,0,1
16,340.99437727188337,1,1,172.16,4,53,0,0,1
13,629.445316608163,1,1,172.16,5,53,0,0,1
18,505.4875454908471,4,4,192.168,1,30,2,1,1
9,721.4155026769905,1,3,172.16,3,52,0,0,1
2,659.4988299930685,4,0,192.0,8,157,1,2,1
16,454.2429424468712,2,4,172.16,7,81,1,2,1
1,305.44330862391246,4,4,192.168,4,78,0,0,1
5,1027.9950921971886,4,3,192.168,3,74,0,0,1
19,276.9556569979756,4,0,172.0,7,143,1,2,1
3,190.857992799954,3,2,10.0,1,35,2,1,0
12,600.7074197465776,2,1,10.0,2,26,2,1,1
12,129.38797286509208,1,0,192.0,5,74,0,0,1
18,750.1991334610519,1,2,172.0,4,74,0,0,1
19,512.895603069803,4,4,192.168,1,30,2,1,1
6,291.20939847288537,2,4,192.0,8,141,1,2,2
20,574.0192584632418,2,1,172.0,7,98,1,2,1
15,452.8615621178429,1,0,192.0,5,60,0,0,1
21,806.3662958570426,2,4,172.0,6,112,1,2,2
5,841.4475904274765,2,0,192.0,2,35,2,1,2
8,545.3813957015881,4,2,10.0,1,36,2,1,1
11,378.1477251791206,3,0,192.0,2,25,2,1,0
10,729.9104499004101,2,1,10.0,8,132,1,2,2
8,300.6400862102719,4,1,192.168,1,22,2,1,1
1,309.04460866510806,1,4,172.16,1,22,2,1,1
18,370.7178025312276,2,2,192.0,6,87,1,2,1
15,674.9639324459338,4,1,192.168,5,70,0,0,1
4,627.3291443025743,2,1,192.168,6,122,1,2,2
0,347.4250976145621,4,2,192.0,2,39,2,1,1
1,276.710477694065,2,1,192.168,8,82,1,2,2
7,624.3655448747089,1,3,192.0,2,39,2,1,1
12,293.8537898341198,2,4,192.168,6,148,1,2,1
0,0.01,4,0,192.0,4,79,0,0,1
15,346.62989522267003,4,2,172.16,8,99,1,2,1
20,260.1035728975454,1,2,10.0,5,55,0,0,1
6,469.6422076270432,1,2,172.16,5,64,0,0,1
1,1190.341133039802,1,4,172.0,3,76,0,0,1
10,347.9687444375701,2,0,172.0,6,98,1,2,1
8,622.9339475067181,1,2,192.0,5,42,0,0,1
4,786.5439547616127,3,3,10.0,2,20,2,1,0
0,312.3343610327888,4,4,172.0,7,81,1,2,1
2,636.7854078712363,1,4,172.16,4,59,0,0,1
10,809.158746211347,1,3,10.0,5,47,0,0,1
17,600.1749643539474,0,4,172.0,1,25,2,1,0
13,936.0742764255408,1,4,192.0,1,36,2,1,1
19,655.3032785647861,0,3,172.0,2,27,2,1,0
23,673.4988949437095,4,3,10.0,1,31,2,1,1
5,319.7672777846388,3,3,192.168,2,36,2,1,0
18,468.6809024750511,0,2,10.0,1,30,2,1,0
1,381.666338492454,4,3,192.168,7,121,1,2,1
11,440.6489212799112,2,1,192.0,7,109,1,2,1
17,79.80403488001895,1,4,172.0,3,41,0,0,1
18,0.01,2,0,192.168,2,29,2,1,1
3,86.58158023616062,4,3,192.168,7,134,1,2,1
12,474.4502330133328,4,4,192.0,7,90,1,2,1
16,502.5877553896276,2,4,172.16,8,158,1,2,1
22,752.0412325652712,4,1,172.0,8,138,1,2,1
20,464.4769350694206,4,1,172.16,3,76,0,0,1
15,441.9307332118055,1,1,172.16,4,69,0,0,1
7,675.077354519162,4,3,172.16,1,36,2,1,1
6,412.7423671847957,2,1,10.0,8,124,1,2,2
7,688.4240581974043,2,2,192.0,2,25,2,1,1
14,481.85895660278027,2,3,10.0,7,120,1,2,1
3,823.8639857716879,4,0,10.0,7,134,1,2,1
3,644.8595793477024,1,3,192.168,4,56,0,0,1
10,487.3517463026668,2,1,192.168,8,87,1,2,1
11,770.879131729675,0,1,172.16,1,22,2,1,0
11,258.22524880990943,4,1,10.0,8,109,1,2,1
2,276.10368856295486,1,3,192.168,3,64,0,0,1
12,490.4680027356127,1,2,10.0,2,26,2,1,1
7,812.3881185305493,1,3,192.168,5,61,0,0,1
21,293.6286660685594,2,4,192.0,8,102,1,2,1
16,482.6068807599706,3,4,192.168,1,24,2,1,0
13,711.802420404318,2,1,172.0,7,152,1,2,2
1,909.9517542817116,2,4,10.0,8,121,1,2,2
18,397.6067590969757,1,3,10.0,5,76,0,0,1
21,131.9100855507417,4,2,10.0,1,36,2,1,1
14,859.4143446663637,1,4,192.168,4,73,0,0,1
0,751.5395599730567,1,1,172.16,3,46,0,0,1
20,225.33302731260935,3,3,10.0,2,23,2,1,0
11,574.0395758872462,4,1,192.0,3,42,0,0,1
2,596.5220044209257,2,0,192.0,7,84,1,2,2
7,487.2520665884849,2,1,172.16,6,153,1,2,1
13,338.4697296052128,1,2,192.0,3,74,0,0,1
5,214.20804232062585,4,2,192.168,1,34,2,1,1
0,593.2253477230855,1,1,10.0,1,24,2,1,1
19,652.839175941085,1,0,192.168,1,37,2,1,1
1,518.0166753632104,4,0,172.16,3,73,0,0,1
14,314.4456504454429,2,1,192.168,7,113,1,2,1
2,867.5391669839587,2,0,10.0,6,101,1,2,2
6,679.7971617830294,2,3,192.0,8,156,1,2,2
3,831.7986787467714,2,4,172.0,6,116,1,2,2
14,190.27951319733612,2,0,192.168,8,136,1,2,1
2,329.4219829241895,1,3,192.168,3,56,0,0,1
12,351.2900821088741,4,0,172.0,4,55,0,0,1
14,671.0768246388953,2,3,172.0,7,119,1,2,1
6,420.9266891563876,1,0,172.16,3,67,0,0,1
3,479.9641583440216,3,0,172.0,2,38,2,1,0
22,463.5057823720114,4,0,192.168,5,64,0,0,1
7,714.5113602241602,3,4,10.0,2,39,2,1,0
15,381.8211131270157,4,3,10.0,8,129,1,2,1
7,1161.4858779581214,4,4,172.0,7,93,1,2,1
14,280.54461111720764,4,1,192.168,6,122,1,2,1
23,294.8279962876387,1,3,192.0,3,56,0,0,1
20,197.1484811483452,2,4,172.0,6,84,1,2,1
13,751.3530356629633,4,4,172.0,5,65,0,0,1
22,0.01,2,0,192.168,7,92,1,2,1
1,1016.911118076503,3,1,192.168,1,27,2,1,0
19,296.6717793287399,3,4,172.0,1,32,2,1,0
4,86.99851596770179,1,0,10.0,1,22,2,1,1
3,694.7148538082624,2,1,172.0,8,149,1,2,2
2,163.11447630374107,2,0,192.0,8,90,1,2,2
9,626.9722727818628,1,0,10.0,4,58,0,0,1
0,380.3392593663962,4,2,172.16,5,44,0,0,1
2,284.0130263658081,4,2,10.0,6,133,1,2,1
20,708.6926794335292,2,0,192.0,2,35,2,1,1
12,1211.437446158991,1,3,10.0,3,79,0,0,1
8,390.428003112638,4,2,192.168,3,62,0,0,1
15,294.83199063709804,2,4,172.16,8,106,1,2,1
21,927.7923693604936,1,3,192.168,2,39,2,1,1
22,334.815075427465,1,2,192.168,3,66,0,0,1
23,1025.2919106252314,2,0,192.168,6,133,1,2,2
3,718.1905992570405,4,0,172.16,2,33,2,1,1
2,232.07532813254144,1,3,10.0,1,25,2,1,1
21,377.9695269615427,1,3,192.0,1,25,2,1,1
6,380.2044456052847,1,1,172.16,4,45,0,0,1
12,552.1067879236132,3,0,192.0,1,20,2,1,0
16,590.3751953701048,3,0,192.0,1,30,2,1,0
2,387.55242966900846,3,1,192.168,2,27,2,1,0
20,96.66366479709126,4,2,192.0,8,123,1,2,1
15,528.130538278772,2,1,172.0,6,112,1,2,1
1,226.58277233372635,1,3,192.0,4,57,0,0,1
7,1252.091879374493,2,4,172.0,1,38,2,1,1
4,53.955197263500224,4,3,172.0,8,111,1,2,1
7,420.0058545555328,1,3,172.16,3,62,0,0,1
12,448.5949590968236,1,4,10.0,4,55,0,0,1
0,294.5742616560418,1,3,172.0,5,77,0,0,1
14,792.935976275034,2,0,192.0,6,82,1,2,2
4,861.9063122542469,4,0,192.168,6,149,1,2,1
12,385.8777457638952,1,4,10.0,5,79,0,0,1
18,527.8677099139693,1,2,192.168,3,73,0,0,1
3,429.7843789487447,1,0,192.0,5,71,0,0,1
2,641.6053833591213,2,3,192.168,7,150,1,2,2
16,600.9810281010139,3,3,172.0,2,35,2,1,0
2,322.4318784290656,1,0,192.0,4,42,0,0,1
10,578.782857018847,1,3,192.0,1,32,2,1,1
0,603.1124879343471,1,1,192.0,3,70,0,0,1
6,0.01,1,2,192.0,4,40,0,0,1
4,546.2646369263547,2,0,192.168,1,34,2,1,1
19,0.01,1,1,192.0,3,40,0,0,1
11,629.9821315547545,2,0,192.168,8,103,1,2,1
15,587.1006098913278,3,4,192.0,1,33,2,1,0
17,281.9559889747635,4,4,172.16,4,78,0,0,1
20,1038.5071572257402,1,2,172.0,5,60,0,0,1
22,830.7184140531099,1,3,10.0,4,62,0,0,1
14,844.9541202054015,3,4,172.0,1,24,2,1,0
7,477.4745055149882,1,2,192.168,4,46,0,0,1
1,833.9712830620958,2,3,10.0,6,88,1,2,2
1,618.1820207862373,1,4,10.0,4,59,0,0,1
9,463.39388469895306,1,4,192.168,3,75,0,0,1
16,468.9456971521852,2,2,172.0,1,39,2,1,1
2,278.3925338349511,4,1,10.0,2,32,2,1,1
23,774.0787632248671,3,3,192.0,1,21,2,1,0
2,421.865815422156,4,2,192.0,4,65,0,0,1
6,555.4230567389069,1,3,10.0,3,72,0,0,1
3,224.21252290390248,4,0,10.0,6,107,1,2,1
15,309.40016363219195,2,2,172.0,7,118,1,2,1
10,515.2235962596908,2,0,192.168,7,126,1,2,1
23,589.2799622542991,4,2,172.16,6,159,1,2,1
6,776.4072718978316,4,2,192.168,3,70,0,0,1
10,110.0486130722307,2,3,172.16,1,20,2,1,1
14,869.655216185221,4,0,192.0,3,55,0,0,1
8,0.01,1,2,10.0,3,79,0,0,1
17,152.95516542977447,2,4,10.0,6,116,1,2,1
1,492.9573147912213,4,1,10.0,6,153,1,2,1
21,443.8250950561505,4,4,172.0,5,75,0,0,1
21,714.7378561047044,2,4,192.0,8,94,1,2,2
23,42.06479921420026,3,3,10.0,1,37,2,1,0
7,605.204502764555,2,4,172.16,1,20,2,1,1
23,305.5347399088903,4,2,192.0,1,38,2,1,1
6,151.0598963107766,4,4,172.16,1,29,2,1,1
15,437.5387182982746,2,4,192.0,6,91,1,2,1
14,0.01,2,4,10.0,1,37,2,1,1
21,569.5855770330069,1,4,192.0,4,78,0,0,1
3,763.8658822893808,3,0,10.0,2,39,2,1,0
17,538.7563826159327,3,4,192.0,1,37,2,1,0
9,617.4972518246408,1,2,172.0,1,38,2,1,1
15,193.48630040332887,4,2,172.16,7,104,1,2,1
8,934.713403926598,4,0,172.16,6,80,1,2,1
22,942.0458386142552,4,4,172.0,7,133,1,2,1
22,400.8670596014396,2,0,172.16,7,120,1,2,1
12,391.98290748229584,4,4,192.0,2,27,2,1,1
3,424.3378565488885,4,1,172.0,7,95,1,2,1
6,107.35564886038908,3,2,192.168,1,38,2,1,0
21,0.01,1,1,172.16,2,28,2,1,1
5,680.4605153306975,4,3,172.0,8,136,1,2,1
3,200.12660426293476,1,0,172.16,3,50,0,0,1
21,482.802184162004,2,0,172.0,7,150,1,2,1
19,860.4326657074754,4,2,192.168,2,36,2,1,1
11,261.9376224659695,4,4,10.0,5,57,0,0,1
21,745.6315986896727,4,1,192.168,1,35,2,1,1
7,430.27052006532847,1,0,192.0,5,53,0,0,1
8,483.5968550452181,1,4,192.0,1,26,2,1,1
21,31.426442278461707,2,0,10.0,1,23,2,1,1
5,878.77951838987,1,0,10.0,4,70,0,0,1
20,321.8368182312513,1,4,172.0,3,48,0,0,1
23,485.947736346476,2,1,192.168,6,82,1,2,1
16,572.0477930084273,4,2,192.168,3,55,0,0,1
22,631.6741282495308,3,3,172.16,1,22,2,1,0
5,483.7351132720198,3,4,192.0,1,21,2,1,0
19,683.5788945148407,2,0,172.16,8,126,1,2,1
21,0.01,4,3,192.0,8,142,1,2,1
5,366.8483264789359,1,4,192.0,3,58,0,0,1
13,845.2564117203635,2,3,172.16,1,33,2,1,1
16,525.378625153019,4,0,192.168,6,120,1,2,1
14,353.868458142906,1,1,192.0,1,23,2,1,1
22,172.2829250523319,2,1,172.0,1,37,2,1,1
7,566.9290452287913,1,4,172.0,3,45,0,0,1
16,78.36236641310018,1,2,172.16,3,40,0,0,1
2,452.2979850463115,2,3,172.16,8,140,1,2,2
21,301.04261541171724,1,0,192.168,5,54,0,0,1
7,22.690465314835365,1,4,172.16,3,42,0,0,1
4,974.1372098489558,4,3,172.16,1,25,2,1,1
5,285.582365163146,2,3,10.0,7,140,1,2,2
17,533.8176884106477,4,0,172.0,1,33,2,1,1
4,561.0505920865508,3,1,10.0,2,21,2,1,0
1,778.71711651572,4,1,172.0,7,82,1,2,1
22,281.5805624062355,1,3,192.0,3,51,0,0,1
4,654.1032483489823,2,1,10.0,7,144,1,2,2
3,485.7370337439355,3,4,172.16,1,34,2,1,0
0,387.83972650199007,2,4,192.0,2,36,2,1,1
13,867.8822581195872,1,1,192.168,1,37,2,1,1
2,536.7645569651253,1,0,172.16,5,51,0,0,1
23,715.2454957334858,1,4,10.0,5,67,0,0,1
12,189.3995386119128,4,4,10.0,4,76,0,0,1
15,193.07595806390609,1,0,192.168,5,55,0,0,1
13,668.0131372177989,1,0,172.0,5,73,0,0,1
19,70.1618778857196,3,1,172.16,2,32,2,1,0
21,807.2400048710666,2,1,172.0,2,34,2,1,1
0,676.0018753464406,2,2,172.0,6,130,1,2,2
5,1082.883092925545,1,3,172.0,3,64,0,0,1
19,1005.5839349148469,2,4,192.0,6,105,1,2,2
19,453.6881913743207,1,4,172.16,3,60,0,0,1
23,482.0944345775776,2,2,192.0,2,38,2,1,1
19,724.7398879376199,1,2,192.168,3,62,0,0,1
2,728.0445920033083,3,2,192.0,2,33,2,1,0
16,778.1227905161475,4,1,172.0,4,63,0,0,1
19,962.0624765023064,1,3,192.168,1,36,2,1,1
7,168.29290961897345,1,3,192.168,5,57,0,0,1
21,609.8311631494066,4,0,172.0,7,112,1,2,1
13,325.15023280067976,1,3,172.16,3,56,0,0,1
21,553.8402610326498,2,3,172.16,2,30,2,1,1
14,341.13503389959226,1,1,10.0,2,33,2,1,1
1,532.6365918100726,1,2,172.16,4,59,0,0,1
6,329.12931210288184,4,4,192.0,1,20,2,1,1
7,742.7929288992189,2,1,10.0,7,131,1,2,2
3,652.658310125005,1,0,10.0,3,54,0,0,1
13,285.232208556916,4,0,192.168,8,121,1,2,1
15,499.20350611526754,4,0,172.16,1,32,2,1,1
15,680.9789066345426,2,0,172.16,1,27,2,1,1
21,585.9440939904839,1,0,192.0,1,29,2,1,1
17,421.6264201062802,2,4,10.0,7,128,1,2,1
10,0.01,2,4,192.168,6,90,1,2,1
21,472.9406720843632,1,2,192.168,3,60,0,0,1
6,823.2578422407922,2,1,192.168,7,105,1,2,2
9,497.95195621163936,4,1,192.0,6,111,1,2,1
16,908.4056039960752,1,0,172.16,4,71,0,0,1
20,292.5860547905624,2,3,192.0,2,29,2,1,1
14,0.01,1,4,172.0,4,49,0,0,1
22,726.32872859999,3,2,10.0,1,31,2,1,0
23,338.11081922045605,2,2,192.168,6,90,1,2,1
11,766.2888652983023,1,2,192.0,4,52,0,0,1
2,389.6129139713764,1,0,192.0,5,66,0,0,1
2,748.5460789126269,1,3,192.168,2,29,2,1,1
17,581.9305411339818,4,1,192.168,2,23,2,1,1
0,800.3553733524593,2,3,172.0,2,28,2,1,2
9,379.3170562372465,4,1,172.0,2,27,2,1,1
3,721.0275071306905,2,0,172.0,7,146,1,2,2
19,531.9875815613426,4,2,10.0,6,96,1,2,1
19,247.65845729804536,1,4,172.0,2,25,2,1,1
21,309.07967505076,2,0,172.0,7,138,1,2,1
22,506.07911262771785,0,0,172.0,2,22,2,1,0
20,354.8530466741505,4,4,192.168,2,28,2,1,1
18,325.2856359977841,4,3,172.16,6,92,1,2,1
20,622.8400716205678,1,0,172.0,5,59,0,0,1
15,613.311553601427,1,2,192.168,3,60,0,0,1
11,291.277168573222,2,4,172.0,6,149,1,2,1
8,491.4510348316214,4,2,10.0,6,94,1,2,1
15,393.4200703099139,2,3,192.168,7,149,1,2,1
14,863.7732736179374,4,1,192.168,6,87,1,2,1
17,37.05976390950247,1,2,10.0,4,58,0,0,1
12,784.4411176471616,4,2,172.0,7,158,1,2,1
0,368.2879156356164,1,0,172.16,3,49,0,0,1
12,407.6585993513961,1,0,10.0,4,50,0,0,1
20,579.4732854739563,4,3,192.0,4,68,0,0,1
8,548.5120430572375,4,1,192.0,2,26,2,1,1
7,780.0514735545596,1,4,192.0,5,77,0,0,1
0,358.1478102029131,2,0,10.0,8,100,1,2,2
5,393.27621503213607,1,3,172.16,2,25,2,1,1
11,550.3008329063446,4,1,172.16,1,33,2,1,1
7,452.1464837576,4,1,192.0,7,97,1,2,1
17,203.93456072426272,4,3,172.16,7,124,1,2,1
4,393.8199750119796,4,0,172.16,8,139,1,2,1
14,295.49675239829713,2,2,10.0,6,127,1,2,1
2,504.8212879422751,1,2,172.16,4,43,0,0,1
6,303.3799651659349,1,4,172.16,2,27,2,1,1
6,295.9100305410376,4,4,192.168,4,67,0,0,1
20,580.3133824601196,1,1,192.0,2,38,2,1,1
21,336.73617193246395,2,0,192.0,2,37,2,1,1
0,369.15369623317576,2,2,10.0,7,102,1,2,2
16,649.5019342604235,4,0,192.0,7,95,1,2,1
16,346.00318441449224,4,0,192.168,3,55,0,0,1
0,477.7016488816477,1,3,10.0,4,44,0,0,1
22,374.7744396163949,3,0,172.16,2,31,2,1,0
12,334.2110643641603,2,1,172.16,1,28,2,1,1
20,513.2186822713862,4,3,10.0,2,25,2,1,1
17,957.1334934180894,2,0,192.0,6,93,1,2,2
20,586.880254687308,0,2,172.0,2,36,2,1,0
20,760.714717540432,4,3,172.0,7,96,1,2,1
5,385.5620126040288,0,2,10.0,1,35,2,1,0
2,0.01,4,4,192.168,7,110,1,2,1
15,648.0353569373677,1,4,192.0,1,30,2,1,1
8,602.7519520049184,1,1,172.16,2,30,2,1,1
11,784.7009511074784,4,0,192.0,8,102,1,2,1
12,1063.8417425905827,1,0,172.16,1,29,2,1,1
6,540.906432847457,2,4,192.168,7,148,1,2,2
18,335.57637036632093,2,3,192.168,6,128,1,2,1
19,211.8020880068658,2,4,172.16,7,83,1,2,1
21,937.8834963226492,2,4,172.0,8,101,1,2,2
7,590.924728949682,4,3,192.0,2,20,2,1,1
15,0.01,1,4,172.16,4,68,0,0,1
15,480.0790246582157,2,0,10.0,1,37,2,1,1
23,305.8436408395813,0,2,192.0,2,29,2,1,0
19,909.8666771905714,1,3,172.16,5,63,0,0,1
22,263.5195951140354,2,1,192.0,2,29,2,1,1
5,970.1861097788542,4,1,192.0,4,65,0,0,1
10,474.4404817872176,1,4,172.0,1,31,2,1,1
5,521.0182686761124,2,2,172.16,8,143,1,2,2
23,706.6960854916912,2,1,192.0,7,96,1,2,2
19,426.9203074002792,2,1,172.16,8,119,1,2,1
21,845.8019126255037,1,0,192.0,3,75,0,0,1
4,535.902470081959,1,0,192.168,5,54,0,0,1
0,96.35208313919048,1,0,192.168,4,48,0,0,1
3,280.6275846434136,1,4,10.0,5,67,0,0,1
9,459.9812649024892,2,0,192.0,6,97,1,2,1
11,919.3556257597158,2,3,172.0,8,116,1,2,2
19,846.6539635569485,2,4,192.168,1,23,2,1,1
21,309.59171509263945,3,3,172.16,1,34,2,1,0
3,330.5299635298861,3,4,10.0,2,21,2,1,0
10,522.5961848261092,1,0,192.168,5,61,0,0,1
18,811.9553062132611,0,1,172.16,2,22,2,1,0
